,Unnamed: 0,userid,number_of_logins,number_of_assignments,question_gradedright,question_complete,question_todo,question_gradedwrong,question_attempts,number_of_quizs,quiz_max_attempt,quiz_min_attempt,quiz_mean_attempt
5674,5674,6891,53,3,65,71,70,5,211,3,1,1,1
5679,5679,6896,72,4,65,74,70,5,214,3,1,1,1
5700,5700,6917,111,10,27,36,37,9,111,4,2,1,1.2
5709,5709,6926,41,9,23,42,43,18,129,4,2,1,1.333333333
5717,5717,6934,124,10,24,25,25,1,75,1,1,1,1
5718,5718,6935,246,20.5,84,111,106,20,325,6,2,1,1.142857143
5719,5719,6936,78,20,40,63,60,20,183,1,1,1,1
5721,5721,6938,83,18,107,130,130,23,390,4,1,1,1
5722,5722,6939,100,20,40,66,60,20,186,1,1,1,1
5723,5723,6940,108,17,47,73,60,13,193,1,1,1,1
5725,5725,6942,183,19,93,123,120,23.5,363,1,2,1,1.416666668
5726,5726,6943,71,19,42,67,60,18,187,1,1,1,1
5727,5727,6944,122,20,108,130,130,22,390,4,1,1,1
5728,5728,6945,127,20.5,50,65,60,10,185,1,1,1,1
5729,5729,6946,83,17,38,61,60,22,181,1,1,1,1
5731,5731,6948,116,3,48,63,60,12,183,1,1,1,1
5732,5732,6949,18,1,38,62,60,22,182,1,1,1,1
5777,5777,6994,14,1,0,13,25,0,38,1,1,1,1
5780,5780,6997,402,16,47,58,58,8,174,4,1,1,1
5782,5782,6999,37,1,0,3,3,0,9,1,1,1,1
5787,5787,7004,42,3,38,45,40,2,125,1,1,1,1
5790,5790,7007,239,5,28,38,37,4,112,6,2,1,1.142857143
5792,5792,7009,85,7,0,3,3,0,9,1,1,1,1
5793,5793,7010,38,4,0,1,1,0,3,1,1,1,1
5795,5795,7012,161,11,33,55,51,17,157,3,1,1,1
5799,5799,7016,150,17,65,88,81,15,250,4,1,1,1
5801,5801,7018,163,13,0,3,3,0,9,1,1,1,1
5802,5802,7019,191,20.5,1,2,2,1,6,1,1,1,1
5804,5804,7021,137,18,46,52,51,4,154,3,1,1,1
5807,5807,7024,219,11,46,58,58,11,174,4,1,1,1
5809,5809,7026,128,5,30,51,48,18,147,4,2,1,1.2
5810,5810,7027,184,2,23,32,31,1,93,6,2,1,1.142857143
5811,5811,7028,66,2,71,94,86,12,268,5,2,1,1.285714286
5812,5812,7029,22,2,0,96,80,0,256,2,1,1,1
5813,5813,7030,214,7,48,50,61,1,166,6,2,1,1.25
5817,5817,7034,96,7,50,60,61,7,182,4,2,1,1.333333333
5819,5819,7036,42,3,0,115,80,0,275,2,1,1,1
5820,5820,7037,85,3,50,57,53,3,163,4,2,1,1.2
5821,5821,7038,89,4,0,86,80,0,216,2,1,1,1
5822,5822,7039,81,2,44,61,61,16,183,2,1,1,1
5823,5823,7040,80,6,13,19,19,5,57,2,1,1,1
5824,5824,7041,94,6,0,115,80,0,275,2,1,1,1
5825,5825,7042,47,2,27,35,35,5,105,3,1,1,1
5827,5827,7044,394,5,32,42,40,7,122,4,1,1,1
5829,5829,7046,50,3,0,94,80,0,254,2,1,1,1
5830,5830,7047,90,4,41,49,49,5,147,3,2,1,1.25
5831,5831,7048,118,5,41,57,52,10,161,4,1,1,1
5832,5832,7049,63,3,27,43,40,9,123,4,1,1,1
5833,5833,7050,28,2,0,103,80,0,263,2,1,1,1
5834,5834,7051,134,5,27,41,40,11,122,4,1,1,1
5835,5835,7052,63,1,0,1,1,0,3,1,1,1,1
5836,5836,7053,206,10,0,1,1,0,3,1,1,1,1
5838,5838,7055,92,3,58,74,73,12,220,5,2,1,1.166666667
5839,5839,7056,97,3,73,76,87,1,244,7,2,1,1.222222222
5840,5840,7057,107,3,0,88,80,0,248,2,1,1,1
5841,5841,7058,52,4,0,89,81,0,250,2,1,1,1
5842,5842,7059,145,2,49,50,63,0,168,6,2,1,1.142857143
5844,5844,7061,127,8,27,42,40,10,122,4,1,1,1
5845,5845,7062,71,2,22,25,25,2,75,1,1,1,1
5846,5846,7063,35,5,0,109,81,0,270,2,1,1,1
5847,5847,7064,72,6,13,19,19,5,57,2,1,1,1
5848,5848,7065,154,1,49,50,60,1,165,6,2,1,1.142857143
5849,5849,7066,96,3,0,112,80,0,272,2,1,1,1
5850,5850,7067,41,2,0,99,80,0,259,2,1,1,1
5851,5851,7068,73,6,70,90,86,14,261,3,1,1,1
5852,5852,7069,89,4,25,25,35,0,90,6,1,1,1
5853,5853,7070,58,3,0,99,80,0,259,2,1,1,1
5854,5854,7071,53,5,0,85,81,0,246,2,1,1,1
5855,5855,7072,36,5,0,90,81,0,251,2,1,1,1
5857,5857,7074,85,4,0,35,50,0,135,1,1,1,1
5858,5858,7075,44,5,0,90,80,0,250,2,1,1,1
5859,5859,7076,54,2,27,40,40,11,120,4,1,1,1
5860,5860,7077,97,1,39,66,60,21,186,1,1,1,1
5861,5861,7078,47,7,27,40,40,12,120,4,1,1,1
5862,5862,7079,87,6,87,89,89,2,267,5,1,1,1
5863,5863,7080,86,3,49,52,61,1,168,6,2,1,1.142857143
5865,5865,7082,103,5,28,43,40,11,123,4,1,1,1
5866,5866,7083,126,6,54,64,61,7,186,4,2,1,1.333333333
5867,5867,7084,107,4,0,109,80,0,269,2,1,1,1
5868,5868,7085,48,6,0,82,80,0,242,2,1,1,1
5869,5869,7086,109,3,34,40,40,6,120,4,1,1,1
5870,5870,7087,132,6,0,1,1,0,3,1,1,1,1
5871,5871,7088,84,1,48,51,60,1,166,6,2,1,1.142857143
5872,5872,7089,54,5,0,106,80,0,266,2,1,1,1
5873,5873,7090,54,4,33,70,67,23.5,204,3,2,1,1.25
5874,5874,7091,158,5,34,42,40,4,122,4,1,1,1
5875,5875,7092,26,1,20,28,27,7,82,3,1,1,1
5877,5877,7094,80,8,0,1,1,0,3,1,1,1,1
5879,5879,7096,99,2,25,25,39,0,94,6,1,1,1
5880,5880,7097,68,3,0,100,82,0,262,2,1,1,1
5881,5881,7098,103,6,17,23,19,2,61,2,1,1,1
5882,5882,7099,103,4,0,7,7,0,21,2,2,1,1.333333333
5883,5883,7100,110,7,0,2,2,0,6,1,2,1,1.416666668
5884,5884,7101,67,8,0,9,7,0,23,2,2,1,1.333333333
5885,5885,7102,117,8,0,1,1,0,3,1,1,1,1
5886,5886,7103,159,5,0,1,1,0,3,1,1,1,1
5887,5887,7104,68,3,0,10,7,0,23,2,2,1,1.333333333
5888,5888,7105,132,6,0,12,7,0,26,2,2,1,1.333333333
5889,5889,7106,109,5,0,9,9,0,22,2,2,1,1.416666668
5890,5890,7107,105,3,0,17,7,0,31,2,2,1,1.333333333
5891,5891,7108,80,6,0,1,1,0,3,1,1,1,1
5892,5892,7109,33,4,0,51,50,0,151,1,1,1,1
5893,5893,7110,179,2,50,51,60,0,166,7,1,1,1
5897,5897,7114,131,4,42,66,60,18,186,1,1,1,1
5900,5900,7117,122,1,42,68,60,18,188,1,1,1,1
5901,5901,7118,102,2,40,61,60,20,181,1,1,1,1
5902,5902,7119,59,1,36,60,120,23.5,240,1,2,1,1.416666668
5904,5904,7121,93,3,25,30,30,0,90,6,1,1,1
5905,5905,7122,87,3,0,1,1,0,3,1,1,1,1
5906,5906,7123,108,1,49,65,60,11,185,1,1,1,1
5908,5908,7125,89,1,41,60,60,19,180,1,1,1,1
5909,5909,7126,65,1,37,62,60,23,182,1,1,1,1
5911,5911,7128,89,1,43,65,60,17,185,1,1,1,1
5913,5913,7130,79,1,48,67,60,12,187,1,1,1,1
5914,5914,7131,35,1,38,63,60,22,183,1,1,1,1
5940,5940,7157,72,5,4,5,5,1,15,1,1,1,1
5952,5952,7169,47,5,16,30,30,14,90,1,1,1,1
5956,5956,7173,76,9,4,8,8,4,24,1,1,1,1
5957,5957,7174,83,14,14,19,16,2,51,1,2,1,1.416666668
5960,5960,7177,65,8,9,16,16,7,48,1,2,1,1.416666668
5963,5963,7180,53,5,8,8,8,0,24,1,1,1,1
5966,5966,7183,111,9,5,8,8,3,24,1,1,1,1
5968,5968,7185,101,6,3,8,8,5,24,1,1,1,1
5970,5970,7187,143,10,4,8,8,4,24,1,1,1,1
5974,5974,7191,99,14,14,16,16,2,48,1,2,1,1.416666668
5979,5979,7196,55,4,16,16,16,0,48,1,2,1,1.416666668
5983,5983,7200,101,10,5,5,5,0,15,1,1,1,1
5987,5987,7204,46,2,5,5,5,0,15,1,1,1,1
5989,5989,7206,52,3,11,16,16,5,48,1,2,1,1.416666668
5990,5990,7207,231,18,13,16,16,3,48,1,2,1,1.416666668
6009,6009,7226,178,15,14,16,16,2,48,1,2,1,1.416666668
6015,6015,7232,35,11,3,5,5,2,15,1,1,1,1
6016,6016,7233,150,5,3,6,5,2,16,1,1,1,1
6019,6019,7236,125,13,1,9,16,8,41,1,2,1,1.416666668
6036,6036,7254,98,2,108,133,134.5,22,399.5,5,2,1,1.166666667
6038,6038,7256,53,1,43,61,61,17,183,2,1,1,1
6039,6039,7257,131,1,46,66,121,14,248,2,2,1,1.333333333
6040,6040,7258,162,6,0,11,8,0,26,2,2,1,1.333333333
6041,6041,7259,96,3,110.5,133,131,14,397,5,1,1,1
6042,6042,7260,84,8,0,10,7,0,24,2,2,1,1.333333333
6043,6043,7261,115,5,0,8,8,0,24,2,2,1,1.416666668
6044,6044,7262,118,6,0,10,7,0,24,2,2,1,1.333333333
6045,6045,7263,72,2,0,9,6,0,21,1,2,1,1.416666668
6046,6046,7264,115,4,0,7,8,0,18,1,2,1,1.416666668
6047,6047,7265,99,3,0,1,1,0,3,1,1,1,1
6048,6048,7266,115,5,40,63,61,20,185,2,1,1,1
6049,6049,7267,57,5,0,1,2,0,4,1,2,1,1.416666668
6050,6050,7268,70,2,63,90,86,21,262,3,1,1,1
6051,6051,7269,186,4,0,1,8,0,16,2,2,1,1.333333333
6052,6052,7270,86,2,0,6,4,0,14,2,1,1,1
6053,6053,7271,49,5,0,1,1,0,3,1,1,1,1
6054,6054,7272,123,2,63,98,92,21,282,4,2,1,1.2
6055,6055,7273,110,1,25,26,26,0,78,2,1,1,1
6056,6056,7274,127,3,68,89,86,16,261,3,1,1,1
6057,6057,7275,77,9,60,68,61,0,190,2,1,1,1
6058,6058,7276,223,20.5,63,75,80,12,235,4,1,1,1
6066,6066,7284,367,20.5,0,9,5,0,19,1,1,1,1
6069,6069,7287,72,17,64,75,74,5,223,4,2,1,1.2
6070,6070,7288,160,15,0,3,4,0,11,4,1,1,1
6072,6072,7290,357,17,63,80,80,17,240,4,1,1,1
6073,6073,7291,246,15,93,130,122,23.5,375,7,1,1,1
6075,6075,7293,397,20.5,76,89,91,6,271,8.5,3,1,1.307692308
6088,6088,7306,141,2,12,14,14,2,42,1,1,1,1
6146,6146,7364,84,6,12,23,20,8,63,1,1,1,1
6147,6147,7365,153,13,9,20,20,11,60,1,1,1,1
6150,6150,7368,81,1,56,71,70,14,211,3,1,1,1
6151,6151,7369,89,2,70,70,70,0,210,3,1,1,1
6155,6155,7373,82,1,50,50,50,0,150,1,2,1,1.416666668
6157,6157,7375,100,8,15,20,20,5,60,1,1,1,1
6161,6161,7379,125,2,69,77,70,1,217,3,1,1,1
6164,6164,7382,96,11,67,97,92,23.5,281,4,2,1,1.2
6174,6174,7392,109,3,58,95,96,23.5,287,4,1,1,1
6175,6175,7393,231,2,53,97,91,23.5,279,3,2,1,1.25
6176,6176,7394,148,4,52,80,80,23,240,2,2,1,1.333333333
6177,6177,7395,201,20.5,17,7,18,0,42,2,1,1,1
6178,6178,7396,65,2,54,89,91,21,271,3,2,1,1.25
6179,6179,7397,161,2,56,94,91,21,276,3,2,1,1.25
6180,6180,7398,125,3,31,43,38,7,119,1,1,1,1
6183,6183,7401,157,2,25,44,38,13,120,1,1,1,1
6184,6184,7402,154,3,18,31,31,10,93,3,1,1,1
6185,6185,7403,156,2,46,95,91,23.5,277,3,2,1,1.25
6186,6186,7404,156,9,12,20,20,8,60,1,1,1,1
6187,6187,7405,107,8,10,21,20,10,61,1,1,1,1
6188,6188,7406,137,11,13,21,20,7,61,1,1,1,1
6189,6189,7407,99,9,82,93,90,8,273,4,1,1,1
6190,6190,7408,158,18,82,93,90,8,273,4,1,1,1
6191,6191,7409,104,13,13,22,20,7,62,1,1,1,1
6192,6192,7411,208,12,13,20,20,7,60,1,1,1,1
6193,6193,7412,94,13,80,91,90,10,271,4,1,1,1
6194,6194,7413,190,11,10,20,20,10,60,1,1,1,1
6195,6195,7414,213,13,11,20,20,9,60,1,1,1,1
6196,6196,7415,102,11,79,92,90,11,272,4,1,1,1
6197,6197,7416,97,9,82,95,90,8,275,4,1,1,1
6198,6198,7417,155,6,10,26,20,10,66,1,1,1,1
6199,6199,7418,111,14,14,20,20,6,60,1,1,1,1
6200,6200,7419,117,11,11,20,20,9,60,1,1,1,1
6201,6201,7420,96,9,10,21,20,10,61,1,1,1,1
6202,6202,7421,72,8,14,21,20,6,61,1,1,1,1
6203,6203,7422,128,14,74,97,90,16,277,4,1,1,1
6204,6204,7423,85,7,82,94,90,8,274,4,1,1,1
6205,6205,7424,74,9,12,24,20,8,64,1,1,1,1
6206,6206,7425,120,11,13,20,20,7,60,1,1,1,1
6207,6207,7426,115,9,79,94,90,11,274,4,1,1,1
6208,6208,7427,138,6,82,95,90,8,275,4,1,1,1
6209,6209,7428,100,9,10,20,20,10,60,1,1,1,1
6210,6210,7429,90,9,10,20,20,10,60,1,1,1,1
6211,6211,7430,104,12,78,103,90,12,283,4,1,1,1
6212,6212,7431,135,10,10,21,20,10,61,1,1,1,1
6213,6213,7432,111,8,14,26,20,6,66,1,1,1,1
6214,6214,7433,79,10,80,102,90,10,282,4,1,1,1
6215,6215,7434,105,8,83,95,90,7,275,4,1,1,1
6216,6216,7435,188,6,84,97,90,6,277,4,1,1,1
6217,6217,7436,171,9,81,95,90,9,275,4,1,1,1
6218,6218,7437,193,14,13,21,20,7,61,1,1,1,1
6219,6219,7438,99,12,13,21,20,7,61,1,1,1,1
6220,6220,7439,132,10,79,90,90,11,270,4,1,1,1
6221,6221,7440,119,10,14,23,20,6,63,1,1,1,1
6222,6222,7441,212,12,81,92,90,9,272,4,1,1,1
6223,6223,7442,37,3,12,22,20,8,62,1,1,1,1
6225,6225,7444,287,8,15,20,20,5,60,1,1,1,1
6226,6226,7445,141,10,15,21,20,5,61,1,1,1,1
6227,6227,7446,96,3,14,27,20,6,67,1,1,1,1
6228,6228,7447,104,13,12,29,20,8,69,1,1,1,1
6229,6229,7448,70,4,23,41,38,15,117,7,1,1,1
6230,6230,7449,118,8,13,27,20,7,67,1,1,1,1
6231,6231,7450,131,6,28,52,51,19,157,6,1,1,1
6232,6232,7451,96,4,9,20,20,11,60,1,1,1,1
6233,6233,7452,70,3,8,20,20,12,60,1,1,1,1
6234,6234,7453,142,3,15,22,20,5,62,1,1,1,1
6237,6237,7456,137,6,15,21,20,5,61,1,1,1,1
6238,6238,7457,83,4,17,21,20,3,61,1,1,1,1
6239,6239,7459,93,10,14,20,20,6,60,1,1,1,1
6240,6240,7460,144,13,15,21,20,5,61,1,1,1,1
6241,6241,7461,92,9,13,27,20,7,67,1,1,1,1
6242,6242,7462,105,9,15,20,20,5,60,1,1,1,1
6243,6243,7463,101,8,12,21,20,8,61,1,1,1,1
6244,6244,7464,66,5,10,20,20,10,60,1,1,1,1
6245,6245,7465,73,4,16,23,20,4,63,1,1,1,1
6246,6246,7466,102,8,14,28,20,6,68,1,1,1,1
6248,6248,7468,98,7,79,104,90,11,284,4,1,1,1
6249,6249,7469,153,11,32,46,52,9,155,7,1,1,1
6256,6256,7476,80,5,5,5,5,0,15,1,1,1,1
6257,6257,7477,45,5,5,5,5,0,15,1,1,1,1
6258,6258,7478,62,5,5,5,5,0,15,1,1,1,1
6259,6259,7479,81,4,4,5,5,1,15,1,1,1,1
6261,6261,7481,73,3,5,5,5,0,15,1,1,1,1
6265,6265,7485,41,7,5,5,5,0,15,1,1,1,1
6266,6266,7486,85,3,5,5,5,0,15,1,1,1,1
6269,6269,7489,101,10,5,5,5,0,15,1,1,1,1
6270,6270,7490,47,8,8,10,10,2,30,1,2,1,1.416666668
6272,6272,7492,66,10,7,10,10,3,30,1,2,1,1.416666668
6276,6276,7496,25,1,9,10,10,1,30,1,2,1,1.416666668
6284,6284,7504,64,10,5,5,5,0,15,1,1,1,1
6291,6291,7511,39,5,4,5,5,1,15,1,1,1,1
6293,6293,7513,72,9,9,10,10,1,30,1,2,1,1.416666668
6295,6295,7515,46,8,9,10,10,1,30,1,2,1,1.416666668
6297,6297,7517,72,12,4,5,5,1,15,1,1,1,1
6305,6305,7525,57,9,5,5,5,0,15,1,1,1,1
6306,6306,7526,162,10,4,5,5,1,15,1,1,1,1
6307,6307,7527,91,9,5,5,5,0,15,1,1,1,1
6309,6309,7529,37,7,4,5,5,1,15,1,1,1,1
6310,6310,7530,34,8,5,5,5,0,15,1,1,1,1
6316,6316,7536,108,10,5,5,5,0,15,1,1,1,1
6321,6321,7541,128,9,3,5,5,2,15,1,1,1,1
6324,6324,7544,26,8,2,5,5,3,15,1,1,1,1
6327,6327,7547,52,10,5,5,5,0,15,1,1,1,1
6373,6373,7593,286,14,45,59,58,8,175,4,1,1,1
6386,6386,7606,48,2,20,28,27,6,82,3,1,1,1
6387,6387,7607,105,9,86,89,89,2,267,5,1,1,1
6389,6389,7609,70,1,13,14,14,0,43,2,1,1,1
6390,6390,7610,50,8,15,16,16,1,48,2,1,1,1
6391,6391,7611,75,6,14,17,16,2,49,2,1,1,1
6427,6427,7647,233,20.5,67,81,80,13,241,3,1,1,1
6428,6428,7648,209,20,53,71,60,7,191,2,1,1,1
6431,6431,7651,113,1,19,24,20,1,64,1,1,1,1
6432,6432,7652,50,2,16,22,20,4,62,1,1,1,1
6434,6434,7654,69,9,0,1,13,0,21,4,1,1,1
6435,6435,7655,104,1,18,23,20,2,63,1,1,1,1
6437,6437,7657,92,3,17,24,20,3,64,1,1,1,1
6440,6440,7660,181,8,18,29,31,2,87,6,1,1,1
6441,6441,7661,161,20.5,64,88,80,16,248,3,1,1,1
6442,6442,7662,205,20.5,66,84,80,14,244,3,1,1,1
6443,6443,7663,159,5,25,28,25,0,78,1,1,1,1
6446,6446,7666,80,3,24,25,25,0,75,1,1,1,1
6447,6447,7667,202,20.5,69,88,80,11,248,3,1,1,1
6448,6448,7668,92,16,39,60,60,17,180,2,1,1,1
6449,6449,7669,75,20,40,55,60,9,175,2,1,1,1
6451,6451,7671,76,7,48,51,51,1,153,2,2,1,1.333333333
6452,6452,7672,59,6,25,26,26,0,78,2,1,1,1
6453,6453,7673,203,7,47,51,51,2,153,2,2,1,1.333333333
6454,6454,7674,63,3,0,1,1,0,3,1,1,1,1
6458,6458,7678,107,8,0,6,10,0,23,4,1,1,1
6462,6462,7682,107,3,0,1,1,0,3,1,1,1,1
6464,6464,7684,81,3,16,47,39,4,125,2,1,1,1
6465,6465,7685,45,5,0,90,130,0,300,3,1,1,1
6466,6466,7686,63,3,0,107,83,0,240,2,1,1,1
6467,6467,7687,38,2,0,89,80,0,249,2,1,1,1
6468,6468,7688,96,3,0,87,80,0,247,2,1,1,1
6473,6473,7693,18,1,58,70,70,12,210,3,1,1,1
6476,6476,7696,30,1,48,50,50,1,150,1,2,1,1.416666668
6487,6487,7707,80,2,41,133,134.5,23.5,399.5,6,2,1,1.333333333
6489,6489,7709,189,7,13,44,39,7,122,2,1,1,1
6490,6490,7710,77,4,48,51,50,1,153,1,2,1,1.416666668
6503,6503,7723,186,2,23,25,25,1,75,1,1,1,1
6504,6504,7724,101,4,47,50,50,2,150,1,2,1,1.416666668
6505,6505,7725,70,1,24,27,25,0,77,1,1,1,1
6506,6506,7726,48,1,60,72,70,10,212,3,1,1,1
6507,6507,7727,61,1,70,71,70,0,211,3,1,1,1
6509,6509,7729,38,1,48,51,50,1,152,1,2,1,1.416666668
6510,6510,7730,75,1,47,51,50,1,151,1,2,1,1.416666668
6538,6538,7758,97,9,64,133,134.5,17,399.5,8,2,1,1.111111111
6542,6542,7762,287,11,5,20,16,3,52,3,2,1,1.25
6544,6544,7764,122,14,67,133,134.5,18,399.5,8,2,1,1.111111111
6545,6545,7765,328,14,17,31,41,5,103,4,2,1,1.2
6546,6546,7766,231,7,16,20,30,3,70,2,2,1,1.333333333
6548,6548,7768,284,6,7,10,10,3,30,1,1,1,1
6549,6549,7769,274,3,12,22,21,1,64,3,1,1,1
6550,6550,7770,247,4,46,61,61,9,183,4,1,1,1
6551,6551,7771,181,7,26,30,30,4,90,4,1,1,1
6553,6553,7773,102,10,46,60,58,11,176,4,1,1,1
6554,6554,7774,396,9,12,15,15,1,45,2,1,1,1
6555,6555,7775,289,12,7,8,8,0,24,2,1,1,1
6572,6572,7792,50,3,49,69,65,16,199,1,1,1,1
6573,6573,7793,59,8,0,3,3,0,9,1,1,1,1
6582,6582,7802,80,6,46,61,61,14,183,2,1,1,1
6585,6585,7805,162,8,15,17,16,1,49,2,1,1,1
6586,6586,7806,45,5,14,24,24,2,71,6,1,1,1
6587,6587,7807,139,4,10,17,16,6,49,1,1,1,1
6594,6594,7815,68,1,42,61,51,8,163,3,1,1,1
6599,6599,7820,36,3,25,51,50,23.5,151,2,1,1,1
6602,6602,7823,35,1,36,56,51,14,158,3,1,1,1
6603,6603,7824,40,1,68,73,70,2,213,3,1,1,1
6604,6604,7825,31,2,42,53,51,8,155,3,1,1,1
6659,6659,7880,54,4,10,23,22,10,67,1,1,1,1
6714,6714,7936,140,3,39,46,46,5,138,3,1,1,1
6718,6718,7940,49,5,21,36,50,13,136,2,1,1,1
6719,6719,7941,59,7,50,72,70,20,212,3,1,1,1
6724,6724,7946,57,8,65,70,70,5,210,3,1,1,1
6725,6725,7947,29,5,18,32,30,12,92,1,1,1,1
6770,6770,7992,78,2,4,9,9,5,27,1,1,1,1
6773,6773,7995,73,2,3,8,18,5,35,1,2,1,1.416666668
6786,6786,8008,106,1,38,51,50,12,151,2,1,1,1
6817,6817,8039,106,5,1,1,1,0,3,1,1,1,1
6832,6832,8054,23,5,1,2,2,0,6,1,2,1,1.416666668
6833,6833,8055,68,2,5,9,9,4,27,1,1,1,1
6842,6842,8064,66,4,7,10,10,3,30,1,1,1,1
6843,6843,8065,46,12,7,10,10,3,30,1,1,1,1
6846,6846,8068,53,20.5,7,10,10,3,30,1,1,1,1
6848,6848,8070,72,20.5,7,10,10,3,30,1,1,1,1
6854,6854,8076,32,20,9,10,10,1,30,1,1,1,1
6861,6861,8083,26,17,10,10,10,0,30,1,1,1,1
6862,6862,8084,71,20.5,10,10,10,0,30,1,1,1,1
6864,6864,8086,60,20.5,38,61,60,22,181,3,1,1,1
6866,6866,8088,40,20.5,8,10,10,2,30,1,1,1,1
6867,6867,8089,70,20.5,5,10,10,5,30,1,1,1,1
6874,6874,8096,64,20.5,7,11,10,3,31,1,1,1,1
6875,6875,8097,74,20.5,7,11,10,3,31,1,1,1,1
6876,6876,8098,51,19,9,10,10,1,30,1,1,1,1
6879,6879,8101,297,15,79,80,80,1,240,4,1,1,1
6883,6883,8105,231,12,25,39,38,13,115,1,1,1,1
6884,6884,8106,100,17,89,102,102,13,306,6,1,1,1
6886,6886,8108,236,2,15,25,26,4,77,4,2,1,1.2
6887,6887,8109,260,5,16,38,36,12,110,5,1,1,1
6888,6888,8110,271,5,17,25,26,2,77,4,1,1,1
6890,6890,8112,88,12,24,36,35,10,106,8.5,1,1,1
6891,6891,8113,355,6,81,88,88,6,264,6,1,1,1
6892,6892,8114,187,16,41,51,51,9,153,3,1,1,1
6893,6893,8115,378,9,19,35,36,10,107,5,2,1,1.166666667
6894,6894,8116,372,9,33,48,47,2,142,7,1,1,1
6895,6895,8117,177,15,49,54,51,1,156,3,1,1,1
6896,6896,8118,359,9,44,50,50,4,150,5,2,1,1.285714286
6897,6897,8119,324,7,12,15,15,3,45,3,1,1,1
6898,6898,8120,306,4,72,91,91,12,274,7,2,1,1.125
6899,6899,8121,141,6,15,28,31,7,90,3,2,1,1.25
6900,6900,8122,183,4,8,31,31,7,83,3,2,1,1.25
6902,6902,8124,205,3,29,41,41,4,123,6,1,1,1
6903,6903,8125,147,7,46,73,70,21,213,6,2,1,1.142857143
6904,6904,8126,229,5,29,44,45,11,134,5,2,1,1.166666667
6905,6905,8127,200,8,26,41,41,7,123,6,1,1,1
6906,6906,8128,227,5,24,41,41,9,123,6,1,1,1
6907,6907,8129,238,10,29,38,40,8,118,5,2,1,1.166666667
6909,6909,8131,120,7,35,47,40,5,127,1,1,1,1
6913,6913,8135,82,8,0,1,1,0,3,1,1,1,1
6914,6914,8136,120,8,0,1,2,0,4,1,2,1,1.416666668
6916,6916,8138,120,9,0,1,1,0,3,1,1,1,1
6918,6918,8140,107,14,48,54,54,4,160,5,1,1,1
6920,6920,8142,119,14,16,30,30,14,90,1,1,1,1
6921,6921,8143,199,7,10,17,16,0,49,3,1,1,1
6922,6922,8144,271,11,0,3,3,0,9,1,1,1,1
6923,6923,8145,174,4,31,37,40,4,117,4,2,1,1.2
6925,6925,8147,298,5,28,36,40,8,116,4,2,1,1.333333333
6926,6926,8148,159,16,2,6,4,2,14,1,2,1,1.416666668
6927,6927,8149,181,17,51,59,60,8,179,3,1,1,1
6928,6928,8150,120,11,63,71,70,7,211,2,1,1,1
6929,6929,8151,265,6,33,36,35,2,106,5,1,1,1
6930,6930,8152,243,6,34,35,35,1,105,5,1,1,1
6931,6931,8153,119,17,42,57,53,10,163,4,1,1,1
6932,6932,8154,270,5,29,41,41,6,123,6,1,1,1
6934,6934,8156,131,10,42,54,51,8,155,3,1,1,1
6935,6935,8157,218,4,27,45,46,9,137,6,2,1,1.142857143
6936,6936,8158,243,9,25,37,35,9,107,5,1,1,1
6937,6937,8159,267,5,48,61,61,5,183,7,2,1,1.222222222
6939,6939,8161,183,9,0,6,6,0,18,1,1,1,1
6940,6940,8162,255,9,28,48,51,11,150,6,2,1,1.142857143
6941,6941,8163,203,4,65,72,70,2,212,5,2,1,1.166666667
6942,6942,8164,229,4,22,30,30,4,90,4,2,1,1.2
6943,6943,8165,210,8,28,36,35,5,106,5,1,1,1
6944,6944,8166,167,5,25,37,35,9,107,5,1,1,1
6945,6945,8167,146,5,29,45,46,7,137,6,2,1,1.142857143
6946,6946,8168,143,6,33,44,41,2,126,6,1,1,1
6947,6947,8169,212,6,35,36,45,1,126,5,2,1,1.166666667
6948,6948,8170,264,7,24,25,25,1,75,4,1,1,1
6951,6951,8173,191,6,2,12,11,8,34,1,1,1,1
6957,6957,8179,253,6,30,47,51,9,149,6,2,1,1.142857143
6960,6960,8182,49,11,8,10,10,2,30,1,1,1,1
6961,6961,8183,35,12,6,10,10,4,30,1,1,1,1
6962,6962,8184,56,9,11,19,19,8,57,2,1,1,1
6966,6966,8188,41,4,9,10,10,1,30,1,1,1,1
6967,6967,8189,43,2,47,66,69,12,195,4,2,1,1.2
6968,6968,8190,63,10,7,10,10,3,30,1,1,1,1
6969,6969,8191,54,7,6,11,10,4,31,1,1,1,1
6973,6973,8195,71,7,9,11,10,1,31,1,1,1,1
6975,6975,8197,29,2,30,51,51,20,153,3,1,1,1
6976,6976,8198,35,8,7,10,10,3,30,1,1,1,1
6978,6978,8200,63,5,9,10,10,1,30,1,1,1,1
6979,6979,8201,82,6,6,10,10,4,30,1,1,1,1
6981,6981,8203,57,2,44,61,69,15,190,4,2,1,1.2
6982,6982,8204,50,7,7,10,10,3,30,1,1,1,1
6983,6983,8205,63,8,5,11,20,5,41,2,1,1,1
6984,6984,8206,75,10,7,10,10,3,30,1,1,1,1
6985,6985,8207,180,12,6,10,10,4,30,1,1,1,1
6986,6986,8208,26,10,7,10,10,3,30,1,1,1,1
6987,6987,8209,78,7,4,10,10,6,30,1,1,1,1
6988,6988,8210,47,9,7,10,10,3,30,1,1,1,1
